Source,Target,Type,id,label,timeset,weight,PAYLOAD,SEATS,PASSENGERS,FREIGHT,DISTANCE,AIR_TIME
15304,11986,Directed,15304_11986,,,81,2031292,9459,6189,0,8328,11131
12720,15700,Directed,12720_15700,,,2,2186,10,2,30,29,11
13485,13204,Directed,13485_13204,,,1,24000,100,41,0,1108,140
13244,12206,Directed,13244_12206,,,306,30114972,0,0,17719023,22800,30898
13930,14457,Directed,13930_14457,,,709,9893835,39939,31130,370,34320,81480
11980,11563,Directed,11980_11563,,,4,120000,600,595,0,3292,424
13851,15374,Directed,13851_15374,,,1,12500,50,49,0,508,104
14275,13277,Directed,14275_13277,,,1,18500,0,0,8220,733,150
11336,12784,Directed,11336_12784,,,1,3675,9,6,303,218,89
11540,13277,Directed,11540_13277,,,5,111006,152,135,19535,5860,833
10540,12197,Directed,10540_12197,,,8,208173,362,132,0,632,282
12451,13204,Directed,12451_13204,,,33,1377975,4439,3729,38728,3289,1244
10397,15016,Directed,10397_15016,,,4290,122918839,518533,422687,391031,62790,325467
11336,13894,Directed,11336_13894,,,2,4000,15,10,0,504,213
10397,12173,Directed,10397_12173,,,365,36817985,108396,96407,3946931,72032,203648
11695,14869,Directed,11695_14869,,,1,12000,50,15,0,390,60
13930,15412,Directed,13930_15412,,,2742,34409437,140224,77797,3544,38475,184971
10299,12235,Directed,10299_12235,,,5,235000,0,0,129703,362,372
10275,11470,Directed,10275_11470,,,2,35600,152,68,0,256,61
14804,15785,Directed,14804_15785,,,34,98992,258,152,4361,1680,905
12892,10986,Directed,12892_10986,,,61,14768710,0,0,5040561,10506,0
12951,11697,Directed,12951_11697,,,2,68000,300,250,0,776,210
14814,13891,Directed,14814_13891,,,1,59481,0,0,16183,1378,170
10136,16412,Directed,10136_16412,,,1,3500,0,0,992,137,47
15741,14229,Directed,15741_14229,,,68,124500,408,53,1316,1414,3713
12822,13970,Directed,12822_13970,,,6,30500,11,0,1308,612,316
11986,11278,Directed,11986_11278,,,284,3541345,14199,8367,0,10480,21976
11413,12888,Directed,11413_12888,,,1,17500,74,71,0,308,113
15919,10721,Directed,15919_10721,,,2,17680,74,25,0,2624,418
15607,10397,Directed,15607_10397,,,1025,14067000,51250,42205,1000,2496,46267
10994,13204,Directed,10994_13204,,,2,124855,418,254,150,634,51
11433,14108,Directed,11433_14108,,,659,7740103,31397,22259,0,7958,39804
13377,14814,Directed,13377_14814,,,1,13500,50,39,0,104,27
10551,14282,Directed,10551_14282,,,415,558275,2230,633,138150,7503,25588
10754,13767,Directed,10754_13767,,,682,2120139,7661,2989,101288,5889,36232
14576,10785,Directed,14576_10785,,,2,38700,150,147,0,488,102
11298,11150,Directed,11298_11150,,,337,3445530,14948,8741,460,9165,31552
14307,14635,Directed,14307_14635,,,2,73400,274,78,0,1201,367
11884,12191,Directed,11884_12191,,,1,42500,174,101,0,1716,213
13244,14747,Directed,13244_14747,,,1330,170811028,52938,45031,94828503,112200,321125
12945,14783,Directed,12945_14783,,,1,12500,50,3,0,484,81
15376,11603,Directed,15376_11603,,,3,155100,549,439,0,2124,442
13487,10141,Directed,13487_10141,,,952,7356452,33821,19828,0,6682,59822
13931,14457,Directed,13931_14457,,,1,56558,0,0,4520,1491,210
10620,11648,Directed,10620_11648,,,4,89600,412,200,3,1280,232
11545,11997,Directed,11545_11997,,,2,2000,10,7,0,27,27
10434,10670,Directed,10434_10670,,,1,2396,7,5,0,116,0
11057,12173,Directed,11057_12173,,,201,13768500,41004,28521,150177,32746,119366
14100,14108,Directed,14100_14108,,,1,16800,65,51,0,764,156
11603,14057,Directed,11603_14057,,,3500,32521798,118249,76217,1447960,6678,114251
10693,10990,Directed,10693_10990,,,1,12240,50,39,0,475,103
12253,10961,Directed,12253_10961,,,272,369254,1708,444,12960,740,5575
12197,14027,Directed,12197_14027,,,1575,42100100,172407,139787,0,32767,232645
11931,13244,Directed,11931_13244,,,708,5140860,24072,6128,0,1464,23873
11057,13931,Directed,11057_13931,,,2841,61071328,237431,187197,126124,30450,132297
11618,13577,Directed,11618_13577,,,502,9759972,40507,30187,498,19250,47554
13003,10245,Directed,13003_10245,,,8,10875,54,40,210,236,242
13577,11995,Directed,13577_11995,,,1,42500,174,51,0,176,53
14805,15721,Directed,14805_15721,,,3,8263,27,26,0,440,217
11042,14635,Directed,11042_14635,,,728,25327763,110399,92097,7079,52275,102697
12184,10299,Directed,12184_10299,,,3009,11564058,46021,26319,450001,9945,105165
12339,10868,Directed,12339_10868,,,179,10276049,260,136,6322664,8347,11882
14712,10423,Directed,14712_10423,,,1,3000,13,4,0,869,102
12173,10397,Directed,12173_10397,,,364,36698740,108063,99137,7359548,72032,182236
11433,14492,Directed,11433_14492,,,1676,42821037,169001,131895,30338,55110,125334
10938,11630,Directed,10938_11630,,,107,204555,963,85,213,1352,4114
14987,11028,Directed,14987_11028,,,24,38294,125,43,2521,765,678
14711,13487,Directed,14711_13487,,,2,54500,223,147,0,1654,260
14856,11941,Directed,14856_11941,,,27,69643,230,112,995,1239,559
11292,12255,Directed,11292_12255,,,1249,5620500,23731,8374,0,3564,78116
12896,14842,Directed,12896_14842,,,1,15000,66,53,0,177,60
10781,10868,Directed,10781_10868,,,1,18800,54,28,0,632,80
14831,10693,Directed,14831_10693,,,1,42500,174,95,0,1947,243
11721,13184,Directed,11721_13184,,,1,3500,0,0,1222,43,116
14122,13851,Directed,14122_13851,,,1,12000,50,33,0,1010,155
11996,10208,Directed,11996_10208,,,2,25000,100,100,0,212,51
10405,12779,Directed,10405_12779,,,2,2400,12,6,0,178,89
12264,14683,Directed,12264_14683,,,716,14058042,51955,40240,1326,53118,135911
13230,14730,Directed,13230_14730,,,278,29135427,100,85,22489318,10020,22614
11259,12266,Directed,11259_12266,,,2221,27204967,113481,84735,1399,5642,96443
13367,13577,Directed,13367_13577,,,1,42939,162,133,0,830,100
14869,13433,Directed,14869_13433,,,250,3375000,12500,5208,1,4422,23702
15091,12782,Directed,15091_12782,,,59,71082,234,66,2813,286,793
11726,15074,Directed,11726_15074,,,1,32700,173,127,0,208,34
10245,15444,Directed,10245_15444,,,75,127233,451,152,10379,1805,2784
