id,label,timeset,Airport,City_name,State_name
12136,"HIO",,"HIO","Hillsboro OR","Oregon"
10647,"BKL",,"BKL","Cleveland OH","Ohio"
10627,"BIS",,"BIS","Bismarck/Mandan ND","North Dakota"
14485,"RDB",,"RDB","Red Dog AK","Alaska"
11978,"GRD",,"GRD","Greenwood SC","South Carolina"
14027,"PBI",,"PBI","West Palm Beach/Palm Beach FL","Florida"
10154,"ACK",,"ACK","Nantucket MA","Massachusetts"
14025,"PBG",,"PBG","Plattsburgh NY","New York"
10408,"ATW",,"ATW","Appleton WI","Wisconsin"
10409,"ATY",,"ATY","Watertown SD","South Dakota"
10158,"ACY",,"ACY","Atlantic City NJ","New Jersey"
13121,"LWB",,"LWB","Lewisburg WV","West Virginia"
11977,"GRB",,"GRB","Green Bay WI","Wisconsin"
16490,"AK2",,"AK2","Bear Fish Camp AK","Alaska"
15807,"WOW",,"WOW","Willow AK","Alaska"
13809,"OCF",,"OCF","Ocala FL","Florida"
