Source,Target,Type,id,label,timeset,weight,PAYLOAD,SEATS,PASSENGERS,FREIGHT,DISTANCE,AIR_TIME
13,22,Directed,13_22,,,15313,372146038,1476624,1192473,1679137,167062,1107143
18,35,Directed,18_35,,,2,151158,175,165,72417,2322,386
21,55,Directed,21_55,,,808,71783048,22865,16320,32792712,25871,45399
21,22,Directed,21_22,,,587,49529491,15911,12905,23083733,56772,53450
46,18,Directed,46_18,,,2,54090,212,162,0,1204,176
54,20,Directed,54_20,,,5,188358,545,463,1971,4249,612
78,45,Directed,78_45,,,2,88760,312,269,0,3064,499
31,42,Directed,31_42,,,7,207392,828,481,0,5854,1038
32,39,Directed,32_39,,,2254,86673284,369750,322611,399505,198785,469741
47,56,Directed,47_56,,,275,18097809,245,228,10189854,17792,38372
45,5,Directed,45_5,,,4,88277,291,251,2,2815,563
75,75,Directed,75_75,,,30262,82141445,357556,228168,2235136,29946,580167
29,56,Directed,29_56,,,2,48100,193,188,80,1379,245
1,32,Directed,1_32,,,391,13811800,56963,50028,54609,27506,85899
54,19,Directed,54_19,,,2,80549,247,204,2700,1448,234
37,51,Directed,37_51,,,29604,624311036,2188720,1728600,6427950,208119,1415828
13,25,Directed,13_25,,,5684,236711250,917521,817857,1865041,155307,691264
29,17,Directed,29_17,,,22600,467646270,1810200,1354423,8010219,205209,1199810
45,6,Directed,45_6,,,314,32075679,22,6,18502948,80397,87754
36,19,Directed,36_19,,,291,6418593,22739,13442,0,20241,42952
24,12,Directed,24_12,,,16496,621296228,2529192,2177491,1591405,329527,2009857
54,29,Directed,54_29,,,34,1056523,428,296,126055,12489,3798
55,27,Directed,55_27,,,10073,250951902,908465,688991,6135094,137607,465724
5,42,Directed,5_42,,,2,40895,145,73,0,1806,337
54,34,Directed,54_34,,,13,139660,438,324,0,4617,1002
47,18,Directed,47_18,,,1863,146002565,2565,1730,74660801,63968,113899
28,9,Directed,28_9,,,1,40137,162,82,0,1209,159
72,45,Directed,72_45,,,3,190925,325,284,13137,4155,629
47,51,Directed,47_51,,,8652,320540945,459115,354251,131795352,196576,708083
17,54,Directed,17_54,,,542,5464570,27259,20036,0,6192,35191
